index,municipio,coduf,codmun,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao,ano
162801,Abaiara,23,230010,2021-01-01,11737.0,160.0,0,4,0,Cariri,2021
162802,Abaiara,23,230010,2021-01-02,11737.0,160.0,0,4,0,Cariri,2021
162803,Abaiara,23,230010,2021-01-03,11737.0,160.0,0,4,0,Cariri,2021
162804,Abaiara,23,230010,2021-01-04,11737.0,161.0,1,4,0,Cariri,2021
162805,Abaiara,23,230010,2021-01-05,11737.0,161.0,0,4,0,Cariri,2021
162806,Abaiara,23,230010,2021-01-06,11737.0,161.0,0,4,0,Cariri,2021
162807,Abaiara,23,230010,2021-01-07,11737.0,161.0,0,4,0,Cariri,2021
162808,Abaiara,23,230010,2021-01-08,11737.0,161.0,0,4,0,Cariri,2021
162809,Abaiara,23,230010,2021-01-09,11737.0,161.0,0,4,0,Cariri,2021
162810,Abaiara,23,230010,2021-01-10,11737.0,164.0,3,4,0,Cariri,2021
162811,Abaiara,23,230010,2021-01-11,11737.0,165.0,1,4,0,Cariri,2021
162812,Abaiara,23,230010,2021-01-12,11737.0,165.0,0,4,0,Cariri,2021
162813,Abaiara,23,230010,2021-01-13,11737.0,167.0,2,4,0,Cariri,2021
162814,Abaiara,23,230010,2021-01-14,11737.0,168.0,1,4,0,Cariri,2021
162815,Abaiara,23,230010,2021-01-15,11737.0,168.0,0,4,0,Cariri,2021
162816,Abaiara,23,230010,2021-01-16,11737.0,168.0,0,4,0,Cariri,2021
162817,Abaiara,23,230010,2021-01-17,11737.0,169.0,1,4,0,Cariri,2021
162818,Abaiara,23,230010,2021-01-18,11737.0,169.0,0,4,0,Cariri,2021
162819,Abaiara,23,230010,2021-01-19,11737.0,171.0,2,4,0,Cariri,2021
162820,Abaiara,23,230010,2021-01-20,11737.0,171.0,0,4,0,Cariri,2021
162821,Abaiara,23,230010,2021-01-21,11737.0,171.0,0,4,0,Cariri,2021
162822,Abaiara,23,230010,2021-01-22,11737.0,171.0,0,4,0,Cariri,2021
162823,Abaiara,23,230010,2021-01-23,11737.0,171.0,0,4,0,Cariri,2021
162824,Abaiara,23,230010,2021-01-24,11737.0,174.0,3,4,0,Cariri,2021
162825,Abaiara,23,230010,2021-01-25,11737.0,176.0,2,4,0,Cariri,2021
162826,Abaiara,23,230010,2021-01-26,11737.0,176.0,0,4,0,Cariri,2021
162827,Abaiara,23,230010,2021-01-27,11737.0,176.0,0,4,0,Cariri,2021
162828,Abaiara,23,230010,2021-01-28,11737.0,176.0,0,4,0,Cariri,2021
162829,Abaiara,23,230010,2021-01-29,11737.0,176.0,0,4,0,Cariri,2021
162830,Abaiara,23,230010,2021-01-30,11737.0,176.0,0,4,0,Cariri,2021
162831,Abaiara,23,230010,2021-01-31,11737.0,178.0,2,4,0,Cariri,2021
162832,Abaiara,23,230010,2021-02-01,11737.0,179.0,1,4,0,Cariri,2021
162833,Abaiara,23,230010,2021-02-02,11737.0,179.0,0,4,0,Cariri,2021
162834,Abaiara,23,230010,2021-02-03,11737.0,183.0,4,4,0,Cariri,2021
162835,Abaiara,23,230010,2021-02-04,11737.0,183.0,0,4,0,Cariri,2021
162836,Abaiara,23,230010,2021-02-05,11737.0,183.0,0,4,0,Cariri,2021
162837,Abaiara,23,230010,2021-02-06,11737.0,0.0,-183,0,-4,Cariri,2021
162838,Abaiara,23,230010,2021-02-07,11737.0,183.0,183,4,4,Cariri,2021
162839,Abaiara,23,230010,2021-02-08,11737.0,185.0,2,4,0,Cariri,2021
162840,Abaiara,23,230010,2021-02-09,11737.0,185.0,0,4,0,Cariri,2021
162841,Abaiara,23,230010,2021-02-10,11737.0,185.0,0,4,0,Cariri,2021
162842,Abaiara,23,230010,2021-02-11,11737.0,192.0,7,4,0,Cariri,2021
162843,Abaiara,23,230010,2021-02-12,11737.0,194.0,2,4,0,Cariri,2021
162844,Abaiara,23,230010,2021-02-13,11737.0,194.0,0,4,0,Cariri,2021
162845,Abaiara,23,230010,2021-02-14,11737.0,194.0,0,4,0,Cariri,2021
162846,Abaiara,23,230010,2021-02-15,11737.0,197.0,3,4,0,Cariri,2021
162847,Abaiara,23,230010,2021-02-16,11737.0,197.0,0,4,0,Cariri,2021
162848,Abaiara,23,230010,2021-02-17,11737.0,202.0,5,4,0,Cariri,2021
162849,Abaiara,23,230010,2021-02-18,11737.0,202.0,0,4,0,Cariri,2021
162850,Abaiara,23,230010,2021-02-19,11737.0,207.0,5,4,0,Cariri,2021
162851,Abaiara,23,230010,2021-02-20,11737.0,207.0,0,4,0,Cariri,2021
162852,Abaiara,23,230010,2021-02-21,11737.0,217.0,10,4,0,Cariri,2021
162853,Abaiara,23,230010,2021-02-22,11737.0,217.0,0,4,0,Cariri,2021
162854,Abaiara,23,230010,2021-02-23,11737.0,219.0,2,4,0,Cariri,2021
162855,Abaiara,23,230010,2021-02-24,11737.0,225.0,6,4,0,Cariri,2021
162856,Abaiara,23,230010,2021-02-25,11737.0,227.0,2,4,0,Cariri,2021
162857,Abaiara,23,230010,2021-02-26,11737.0,231.0,4,5,1,Cariri,2021
162858,Abaiara,23,230010,2021-02-27,11737.0,232.0,1,5,0,Cariri,2021
162859,Abaiara,23,230010,2021-02-28,11737.0,236.0,4,5,0,Cariri,2021
162860,Abaiara,23,230010,2021-03-01,11737.0,236.0,0,5,0,Cariri,2021
162861,Abaiara,23,230010,2021-03-02,11737.0,237.0,1,5,0,Cariri,2021
162862,Abaiara,23,230010,2021-03-03,11737.0,240.0,3,5,0,Cariri,2021
162863,Abaiara,23,230010,2021-03-04,11737.0,247.0,7,5,0,Cariri,2021
162864,Abaiara,23,230010,2021-03-05,11737.0,247.0,0,5,0,Cariri,2021
162865,Abaiara,23,230010,2021-03-06,11737.0,248.0,1,5,0,Cariri,2021
162866,Abaiara,23,230010,2021-03-07,11737.0,248.0,0,5,0,Cariri,2021
162867,Abaiara,23,230010,2021-03-08,11737.0,249.0,1,5,0,Cariri,2021
162868,Abaiara,23,230010,2021-03-09,11737.0,251.0,2,6,1,Cariri,2021
162869,Abaiara,23,230010,2021-03-10,11737.0,251.0,0,6,0,Cariri,2021
162870,Abaiara,23,230010,2021-03-11,11737.0,251.0,0,6,0,Cariri,2021
162871,Abaiara,23,230010,2021-03-12,11737.0,257.0,6,6,0,Cariri,2021
162872,Abaiara,23,230010,2021-03-13,11737.0,258.0,1,6,0,Cariri,2021
162873,Abaiara,23,230010,2021-03-14,11737.0,258.0,0,6,0,Cariri,2021
162874,Abaiara,23,230010,2021-03-15,11737.0,258.0,0,6,0,Cariri,2021
162875,Abaiara,23,230010,2021-03-16,11737.0,261.0,3,6,0,Cariri,2021
162876,Abaiara,23,230010,2021-03-17,11737.0,264.0,3,6,0,Cariri,2021
162877,Abaiara,23,230010,2021-03-18,11737.0,276.0,12,7,1,Cariri,2021
162878,Abaiara,23,230010,2021-03-19,11737.0,276.0,0,7,0,Cariri,2021
162879,Abaiara,23,230010,2021-03-20,11737.0,277.0,1,7,0,Cariri,2021
162880,Abaiara,23,230010,2021-03-21,11737.0,281.0,4,7,0,Cariri,2021
162881,Abaiara,23,230010,2021-03-22,11737.0,282.0,1,7,0,Cariri,2021
162882,Abaiara,23,230010,2021-03-23,11737.0,286.0,4,7,0,Cariri,2021
162883,Abaiara,23,230010,2021-03-24,11737.0,286.0,0,7,0,Cariri,2021
162884,Abaiara,23,230010,2021-03-25,11737.0,289.0,3,7,0,Cariri,2021
162885,Abaiara,23,230010,2021-03-26,11737.0,289.0,0,7,0,Cariri,2021
162886,Abaiara,23,230010,2021-03-27,11737.0,292.0,3,7,0,Cariri,2021
162887,Abaiara,23,230010,2021-03-28,11737.0,292.0,0,7,0,Cariri,2021
162888,Abaiara,23,230010,2021-03-29,11737.0,299.0,7,7,0,Cariri,2021
162889,Abaiara,23,230010,2021-03-30,11737.0,300.0,1,7,0,Cariri,2021
162890,Abaiara,23,230010,2021-03-31,11737.0,308.0,8,8,1,Cariri,2021
162891,Abaiara,23,230010,2021-04-01,11737.0,307.0,-1,7,-1,Cariri,2021
162892,Abaiara,23,230010,2021-04-02,11737.0,307.0,0,7,0,Cariri,2021
162893,Abaiara,23,230010,2021-04-03,11737.0,312.0,5,7,0,Cariri,2021
162894,Abaiara,23,230010,2021-04-04,11737.0,312.0,0,7,0,Cariri,2021
162895,Abaiara,23,230010,2021-04-05,11737.0,312.0,0,7,0,Cariri,2021
162896,Abaiara,23,230010,2021-04-06,11737.0,320.0,8,7,0,Cariri,2021
