regiao,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos
Cariri,287338800.0,5824562.0,45310,117261,847
Centro-Sul,110454680.0,1804621.0,14917,44431,344
Litoral Leste,57698480.0,838473.0,6159,24333,141
Litoral Norte,112885920.0,2749938.0,15651,64170,347
Litoral Oeste,112157080.0,1722985.0,10656,71628,379
Maciço de Baturité,68850600.0,1397476.0,8870,36854,204
Região Metropolitana,1149748600.0,18110356.0,126034,1111890,5616
Serra da Ibiapaba,101584560.0,2053856.0,14707,45709,290
Sertao dos Crateús,98763000.0,1897705.0,16080,37117,259
Sertão Central,111165600.0,2012071.0,13892,54454,345
Sertão de Canidé,58121840.0,927521.0,6091,31254,186
Sertão de Sobral,139304200.0,4469988.0,27755,110470,613
Sertão dos Inhamus,38276840.0,526661.0,4764,12578,111
Vale do Jaguaribe,110631640.0,2351743.0,18314,48058,308
