codmun,municipio,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao
230010,Abaiara,2065712.0,56972.0,417,1326,11,Cariri
230015,Acarape,2627504.0,400071.0,820,3265,13,Maciço de Baturité
230020,Acaraú,11024816.0,660349.0,2114,13365,45,Litoral Norte
230030,Acopiara,9551520.0,385890.0,2230,15621,83,Centro-Sul
230040,Aiuaba,3062224.0,54323.0,668,1032,10,Sertão dos Inhamus
230050,Alcântaras,2061664.0,177670.0,1087,1793,17,Sertão de Sobral
230060,Altaneira,1335136.0,58363.0,326,1808,12,Cariri
230070,Alto Santo,3017696.0,154112.0,1293,3126,15,Vale do Jaguaribe
230075,Amontada,7647552.0,304100.0,1849,5548,34,Litoral Oeste
230080,Antonina do Norte,1294128.0,50743.0,620,2090,24,Cariri
230090,Apuiarés,2569600.0,110559.0,948,2636,13,Litoral Oeste
230100,Aquiraz,14127696.0,645931.0,4998,10452,45,Região Metropolitana
230110,Aracati,13120272.0,760358.0,5283,16331,96,Litoral Leste
230120,Aracoiaba,4658544.0,345411.0,3146,3934,14,Maciço de Baturité
230125,Ararendá,1924560.0,114107.0,844,2129,11,Sertao dos Crateús
230130,Araripe,3801600.0,119662.0,981,1531,12,Cariri
230140,Aratuba,2085072.0,123274.0,1073,774,6,Maciço de Baturité
230150,Arneiroz,1379840.0,46458.0,564,1663,10,Sertão dos Inhamus
230160,Assaré,4121392.0,218628.0,1139,4319,29,Cariri
230170,Aurora,4339104.0,202571.0,795,4786,14,Cariri
230180,Baixio,1106688.0,48271.0,420,1148,8,Centro-Sul
230185,Banabuiú,3202672.0,181117.0,1432,1510,16,Sertão Central
230190,Barbalha,10697456.0,650924.0,3987,13551,90,Cariri
230195,Barreira,3946800.0,139989.0,1100,4800,18,Maciço de Baturité
230200,Barro,3991680.0,136907.0,1184,2889,26,Cariri
230205,Barroquinha,2642992.0,161266.0,378,3866,5,Litoral Norte
230210,Baturité,6292000.0,340856.0,3282,8601,43,Maciço de Baturité
230220,Beberibe,9428848.0,462300.0,3594,10383,68,Litoral Leste
230230,Bela Cruz,5736016.0,398106.0,2048,7265,45,Litoral Norte
230240,Boa Viagem,9586720.0,425393.0,2309,10857,58,Sertão de Canidé
230250,Brejo Santo,8707952.0,930901.0,5162,13650,126,Cariri
230260,Camocim,11204336.0,690913.0,3479,19831,79,Litoral Norte
230270,Campos Sales,4826976.0,242602.0,1639,3803,29,Cariri
230280,Canindé,13551472.0,598551.0,3056,21285,113,Sertão de Canidé
230290,Capistrano,3121888.0,225740.0,1533,4094,16,Maciço de Baturité
230300,Caridade,3968272.0,151142.0,1263,5223,31,Sertão de Canidé
230320,Caririaçu,4745840.0,176350.0,550,4621,22,Cariri
230310,Cariré,3246848.0,284498.0,1297,5107,22,Sertão de Sobral
230330,Cariús,3291024.0,221885.0,1573,2831,15,Centro-Sul
230340,Carnaubal,3098656.0,187394.0,1109,1704,10,Serra da Ibiapaba
230350,Cascavel,12626768.0,617774.0,3986,19242,53,Região Metropolitana
230360,Catarina,3642848.0,95550.0,414,1872,9,Centro-Sul
230365,Catunda,1820192.0,133514.0,816,1642,5,Sertao dos Crateús
230370,Caucaia,63606400.0,2536288.0,14012,102875,521,Região Metropolitana
230380,Cedro,4498032.0,358197.0,2724,4481,25,Centro-Sul
230390,Chaval,2300144.0,183197.0,666,3323,13,Litoral Norte
230395,Chorozinho,3566464.0,225917.0,1159,4082,17,Região Metropolitana
230393,Choró,2379696.0,102240.0,681,1599,7,Sertão Central
230400,Coreaú,4071936.0,326888.0,1171,5465,29,Sertão de Sobral
