codmun,municipio,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao
230410,Crateús,13213024.0,1476362.0,5563,25227,115,Sertao dos Crateús
230420,Crato,23253648.0,2033080.0,7912,25896,100,Cariri
230423,Croatá,3179088.0,106406.0,585,1367,12,Serra da Ibiapaba
230425,Cruz,4369552.0,370097.0,2472,5254,44,Litoral Norte
230426,Deputado Irapuan Pinheiro,1694000.0,89013.0,450,1400,8,Sertão Central
230427,Ereré,1266848.0,104287.0,383,1608,5,Vale do Jaguaribe
230428,Eusébio,9436768.0,1016505.0,6656,15752,51,Região Metropolitana
230430,Farias Brito,3423200.0,301341.0,1267,5694,37,Cariri
230435,Forquilha,4262368.0,178509.0,683,8259,46,Sertão de Sobral
230440,Fortaleza,469804192.0,28584447.0,164832,1098901,4954,Região Metropolitana
230445,Fortim,2900480.0,173832.0,1923,2167,23,Litoral Leste
230450,Frecheirinha,2476672.0,387722.0,1361,3477,16,Sertão de Sobral
230460,General Sampaio,1340768.0,60353.0,381,1993,12,Litoral Oeste
230470,Granja,9635648.0,355722.0,1814,10129,43,Litoral Norte
230480,Granjeiro,852544.0,50981.0,233,390,1,Cariri
230465,Graça,2534224.0,141967.0,600,2990,4,Sertão de Sobral
230490,Groaíras,1947968.0,203063.0,911,3684,15,Sertão de Sobral
230495,Guaiúba,4587264.0,145088.0,1219,6739,29,Região Metropolitana
230500,Guaraciaba do Norte,7152992.0,274407.0,1422,4963,34,Serra da Ibiapaba
230510,Guaramiranga,913968.0,80055.0,664,438,3,Maciço de Baturité
230520,Hidrolândia,3516128.0,294709.0,1620,2452,13,Sertao dos Crateús
230523,Horizonte,11851312.0,855657.0,4516,17572,42,Região Metropolitana
230526,Ibaretama,2350128.0,86521.0,993,2144,17,Sertão Central
230530,Ibiapina,4399472.0,195420.0,692,3679,18,Serra da Ibiapaba
230533,Ibicuitinga,2204400.0,174557.0,1166,2218,12,Sertão Central
230535,Icapuí,3508384.0,266964.0,1748,3446,17,Litoral Leste
230540,Icó,11971168.0,745103.0,4138,11624,71,Centro-Sul
230550,Iguatu,18039648.0,1163601.0,5417,24117,103,Centro-Sul
230560,Independência,4607328.0,175661.0,1326,4587,31,Sertao dos Crateús
230565,Ipaporanga,2040368.0,125968.0,851,993,13,Sertao dos Crateús
230570,Ipaumirim,2193488.0,90209.0,894,1831,11,Centro-Sul
230580,Ipu,7385664.0,592188.0,2050,7669,23,Serra da Ibiapaba
230590,Ipueiras,6717216.0,328798.0,1064,6533,19,Sertao dos Crateús
230600,Iracema,2516272.0,275800.0,1359,3424,22,Vale do Jaguaribe
230610,Irauçuba,4251456.0,107112.0,739,5525,13,Litoral Oeste
230625,Itaitinga,6684480.0,465783.0,3458,8156,29,Região Metropolitana
230620,Itaiçaba,1377552.0,124443.0,1086,2032,15,Litoral Leste
230630,Itapajé,9270800.0,334916.0,1933,16331,64,Litoral Oeste
230640,Itapipoca,22767008.0,1099623.0,6642,31431,151,Litoral Oeste
230650,Itapiúna,3587232.0,195942.0,1716,3406,22,Maciço de Baturité
230655,Itarema,7361376.0,445267.0,1163,5883,13,Litoral Norte
230660,Itatira,3809872.0,261020.0,927,5275,17,Sertão de Canidé
230670,Jaguaretama,3196512.0,234120.0,986,5045,22,Vale do Jaguaribe
230680,Jaguaribara,2006576.0,110508.0,658,2228,12,Vale do Jaguaribe
230690,Jaguaribe,6104032.0,485000.0,2531,8892,39,Vale do Jaguaribe
230700,Jaguaruana,5932080.0,363139.0,2376,7815,36,Litoral Leste
230710,Jardim,4782624.0,145971.0,1311,5036,33,Cariri
230720,Jati,1427536.0,65316.0,623,950,11,Cariri
230725,Jijoca de Jericoacoara,3487616.0,300848.0,1696,3006,18,Litoral Norte
230730,Juazeiro do Norte,48260432.0,3572663.0,10277,69652,217,Cariri
230740,Jucás,4370608.0,161966.0,1061,5603,40,Centro-Sul
230750,Lavras da Mangabeira,5545408.0,301258.0,1506,5815,26,Cariri
230760,Limoeiro do Norte,10479040.0,650204.0,4817,12007,85,Vale do Jaguaribe
230763,Madalena,3465616.0,150185.0,759,4882,10,Sertão de Canidé
230765,Maracanaú,40107936.0,2534040.0,12194,78307,454,Região Metropolitana
230770,Maranguape,22700128.0,1511841.0,5748,30353,122,Região Metropolitana
230780,Marco,4815536.0,190979.0,1326,4142,20,Litoral Norte
230790,Martinópole,1977008.0,119206.0,1197,2724,16,Litoral Norte
230800,Massapê,6817712.0,268026.0,1308,12047,28,Sertão de Sobral
230810,Mauriti,8441312.0,403558.0,2594,10191,61,Cariri
230820,Meruoca,2650032.0,206052.0,951,4445,13,Sertão de Sobral
230830,Milagres,4842112.0,305214.0,1955,7222,33,Cariri
230835,Milhã,2315280.0,112249.0,897,2804,17,Sertão Central
230837,Miraíma,2431968.0,129218.0,834,2102,8,Litoral Oeste
230840,Missão Velha,6229168.0,253009.0,1111,3493,32,Cariri
230850,Mombaça,7708272.0,442648.0,2375,12357,68,Sertão Central
230860,Monsenhor Tabosa,3033184.0,212953.0,1075,4024,20,Sertao dos Crateús
230870,Morada Nova,10892640.0,949997.0,5429,16737,111,Vale do Jaguaribe
230880,Moraújo,1535424.0,205561.0,1371,2572,15,Sertão de Sobral
230890,Morrinhos,3965984.0,156321.0,920,2887,20,Litoral Norte
230900,Mucambo,2558512.0,170014.0,1263,2691,18,Sertão de Sobral
230910,Mulungu,1904848.0,90740.0,908,1893,10,Maciço de Baturité
230920,Nova Olinda,2739440.0,121405.0,799,1909,10,Cariri
230930,Nova Russas,5689728.0,295166.0,2549,5989,41,Sertao dos Crateús
230940,Novo Oriente,5034832.0,157632.0,1092,3258,23,Sertao dos Crateús
230945,Ocara,4523728.0,192424.0,1526,4572,14,Maciço de Baturité
230950,Orós,3771152.0,353294.0,2061,9816,29,Centro-Sul
230960,Pacajus,12707728.0,654307.0,3494,14007,52,Região Metropolitana
230970,Pacatuba,14684032.0,718160.0,3860,24006,144,Região Metropolitana
230980,Pacoti,2157936.0,125781.0,1049,2344,19,Maciço de Baturité
230990,Pacujá,1149808.0,88147.0,168,1368,5,Sertão de Sobral
231000,Palhano,1651936.0,130534.0,1184,2549,21,Vale do Jaguaribe
231010,Palmácia,2344672.0,102768.0,615,2035,13,Maciço de Baturité
231020,Paracuru,6173376.0,425118.0,3325,11539,55,Região Metropolitana
231025,Paraipaba,5762944.0,303534.0,1424,8020,38,Região Metropolitana
231030,Parambu,5547696.0,154793.0,959,6933,36,Sertão dos Inhamus
231040,Paramoti,2151776.0,90885.0,758,1286,10,Sertão de Canidé
231050,Pedra Branca,7613408.0,102393.0,845,7460,21,Sertão Central
231060,Penaforte,1597552.0,59705.0,682,1049,8,Cariri
231070,Pentecoste,6644176.0,396335.0,2644,9594,46,Litoral Oeste
231080,Pereiro,2870032.0,206421.0,1559,2229,17,Vale do Jaguaribe
231085,Pindoretama,3619792.0,204551.0,1515,5034,19,Região Metropolitana
231090,Piquet Carneiro,2984784.0,210659.0,857,2846,14,Sertão Central
231095,Pires Ferreira,1927376.0,123149.0,492,872,2,Sertão de Sobral
231100,Poranga,2171136.0,69205.0,594,1246,7,Sertao dos Crateús
231110,Porteiras,2639296.0,170884.0,956,2968,22,Cariri
231120,Potengi,1943920.0,57271.0,495,465,5,Cariri
231123,Potiretama,1129744.0,65609.0,564,650,5,Vale do Jaguaribe
231126,Quiterianópolis,3710784.0,178416.0,793,3756,27,Sertão dos Inhamus
231130,Quixadá,15440128.0,1046098.0,4854,20142,92,Sertão Central
231135,Quixelô,2847328.0,262511.0,1234,4284,6,Centro-Sul
231140,Quixeramobim,14270432.0,848092.0,6329,24557,102,Sertão Central
231150,Quixeré,3898224.0,357605.0,2603,3990,29,Vale do Jaguaribe
231160,Redenção,5113328.0,524492.0,3105,10519,44,Maciço de Baturité
231170,Reriutaba,3254416.0,281213.0,1740,4198,8,Sertão de Sobral
231180,Russas,13762144.0,1192584.0,5906,20249,110,Vale do Jaguaribe
231190,Saboeiro,2784144.0,110354.0,503,1704,2,Centro-Sul
231195,Salitre,2913504.0,128455.0,706,2084,10,Cariri
231220,Santa Quitéria,7691728.0,605089.0,3540,6213,36,Sertao dos Crateús
231200,Santana do Acaraú,5711552.0,289261.0,1133,8569,60,Sertão de Sobral
231210,Santana do Cariri,3115200.0,111048.0,882,3309,-3,Cariri
231270,Senador Pompeu,4487296.0,216016.0,1266,5165,42,Sertão Central
231280,Senador Sá,1341648.0,123571.0,742,1377,7,Sertão de Sobral
231290,Sobral,36772560.0,3326647.0,13380,82992,387,Sertão de Sobral
231300,Solonópole,3225024.0,191792.0,536,3669,12,Sertão Central
231230,São Benedito,8430928.0,431197.0,2101,8117,31,Serra da Ibiapaba
231240,São Gonçalo do Amarante,8522272.0,834829.0,3951,20598,141,Região Metropolitana
231250,São João do Jaguaribe,1345520.0,77612.0,549,1018,6,Vale do Jaguaribe
231260,São Luís do Curu,2288000.0,119651.0,1085,3749,30,Região Metropolitana
231310,Tabuleiro do Norte,5402672.0,549377.0,3389,6624,50,Vale do Jaguaribe
231320,Tamboril,4620176.0,230875.0,1435,5259,60,Sertao dos Crateús
231325,Tarrafas,1512192.0,45267.0,396,1160,8,Cariri
231330,Tauá,10359184.0,942964.0,4767,17251,95,Sertão dos Inhamus
231335,Tejuçuoca,3376912.0,175438.0,1095,3266,16,Litoral Oeste
231340,Tianguá,13366496.0,1078520.0,4875,21878,92,Serra da Ibiapaba
231350,Trairi,9841568.0,221991.0,1307,10969,42,Região Metropolitana
231355,Tururu,2863696.0,152591.0,864,4408,20,Litoral Oeste
231360,Ubajara,6123392.0,253237.0,688,6050,9,Serra da Ibiapaba
231370,Umari,1361008.0,51071.0,239,1056,0,Centro-Sul
231375,Umirim,3489200.0,102382.0,523,5435,10,Litoral Oeste
231380,Uruburetama,3845600.0,232778.0,1008,6807,34,Litoral Oeste
231390,Uruoca,2435840.0,169429.0,792,4033,14,Litoral Norte
231395,Varjota,3241920.0,285462.0,1102,3698,11,Sertão de Sobral
231410,Viçosa do Ceará,10716464.0,540566.0,2672,15493,77,Serra da Ibiapaba
231400,Várzea Alegre,7166896.0,339260.0,1992,8540,33,Cariri
