codmun,municipio,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao
231135,Quixelô,4529840.0,165235.0,1171,2713,22,Centro-Sul
231140,Quixeramobim,22702960.0,406026.0,2863,16344,104,Sertão Central
231150,Quixeré,6201720.0,137259.0,1125,1910,12,Vale do Jaguaribe
231160,Redenção,8134840.0,278809.0,1790,7606,45,Maciço de Baturité
231170,Reriutaba,5177480.0,127001.0,1135,3181,21,Sertão de Sobral
231180,Russas,21894320.0,553872.0,4297,11365,72,Vale do Jaguaribe
231190,Saboeiro,4429320.0,39624.0,489,759,9,Centro-Sul
231195,Salitre,4635120.0,55642.0,410,1266,9,Cariri
231220,Santa Quitéria,12236840.0,260061.0,1737,4020,14,Sertao dos Crateús
231200,Santana do Acaraú,9086560.0,173716.0,1168,5647,23,Sertão de Sobral
231210,Santana do Cariri,4956000.0,38576.0,330,2042,31,Cariri
231270,Senador Pompeu,7138880.0,94818.0,753,1833,16,Sertão Central
231280,Senador Sá,2134440.0,77530.0,410,865,6,Sertão de Sobral
231290,Sobral,58501800.0,2254771.0,13188,61215,325,Sertão de Sobral
231300,Solonópole,5130720.0,116598.0,938,2546,18,Sertão Central
231230,São Benedito,13412840.0,197961.0,1651,4388,30,Serra da Ibiapaba
231240,São Gonçalo do Amarante,13558160.0,491857.0,3012,10300,57,Região Metropolitana
231250,São João do Jaguaribe,2140600.0,34187.0,209,561,3,Vale do Jaguaribe
231260,São Luís do Curu,3640000.0,32657.0,204,1647,9,Região Metropolitana
231310,Tabuleiro do Norte,8595160.0,203708.0,1593,3229,20,Vale do Jaguaribe
231320,Tamboril,7350280.0,65326.0,797,1026,7,Sertao dos Crateús
231325,Tarrafas,2405760.0,7944.0,107,419,3,Cariri
231330,Tauá,16480520.0,365253.0,3379,6701,64,Sertão dos Inhamus
231335,Tejuçuoca,5372360.0,94921.0,620,2375,13,Litoral Oeste
231340,Tianguá,21264880.0,641721.0,4237,14913,89,Serra da Ibiapaba
231350,Trairi,15657040.0,139628.0,742,8829,48,Região Metropolitana
231355,Tururu,4555880.0,88557.0,543,3523,17,Litoral Oeste
231360,Ubajara,9741760.0,181697.0,1115,5409,31,Serra da Ibiapaba
231370,Umari,2165240.0,20838.0,208,287,6,Centro-Sul
231375,Umirim,5551000.0,60732.0,379,5186,27,Litoral Oeste
231380,Uruburetama,6118000.0,149762.0,816,4070,22,Litoral Oeste
231390,Uruoca,3875200.0,105279.0,659,2940,17,Litoral Norte
231395,Varjota,5157600.0,169229.0,1235,2539,18,Sertão de Sobral
231410,Viçosa do Ceará,17048920.0,339786.0,2157,10004,63,Serra da Ibiapaba
231400,Várzea Alegre,11401880.0,152096.0,1122,4827,35,Cariri
