index,municipio,coduf,codmun,data,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,regiao,ano
118405,Abaiara,23,230010,2020-05-28,11737.0,1.0,0,0,0,Cariri,2020
118406,Abaiara,23,230010,2020-05-29,11737.0,1.0,0,0,0,Cariri,2020
118407,Abaiara,23,230010,2020-05-30,11737.0,3.0,2,1,1,Cariri,2020
118408,Abaiara,23,230010,2020-05-31,11737.0,3.0,0,1,0,Cariri,2020
118409,Abaiara,23,230010,2020-06-01,11737.0,6.0,3,1,0,Cariri,2020
118410,Abaiara,23,230010,2020-06-02,11737.0,6.0,0,1,0,Cariri,2020
118411,Abaiara,23,230010,2020-06-03,11737.0,6.0,0,1,0,Cariri,2020
118412,Abaiara,23,230010,2020-06-04,11737.0,6.0,0,1,0,Cariri,2020
118413,Abaiara,23,230010,2020-06-05,11737.0,6.0,0,1,0,Cariri,2020
118414,Abaiara,23,230010,2020-06-06,11737.0,6.0,0,1,0,Cariri,2020
118415,Abaiara,23,230010,2020-06-07,11737.0,6.0,0,1,0,Cariri,2020
118416,Abaiara,23,230010,2020-06-08,11737.0,7.0,1,1,0,Cariri,2020
118417,Abaiara,23,230010,2020-06-09,11737.0,7.0,0,1,0,Cariri,2020
118418,Abaiara,23,230010,2020-06-10,11737.0,7.0,0,1,0,Cariri,2020
118419,Abaiara,23,230010,2020-06-11,11737.0,7.0,0,1,0,Cariri,2020
118420,Abaiara,23,230010,2020-06-12,11737.0,7.0,0,1,0,Cariri,2020
118421,Abaiara,23,230010,2020-06-13,11737.0,12.0,5,1,0,Cariri,2020
118422,Abaiara,23,230010,2020-06-14,11737.0,12.0,0,1,0,Cariri,2020
118423,Abaiara,23,230010,2020-06-15,11737.0,12.0,0,1,0,Cariri,2020
118424,Abaiara,23,230010,2020-06-16,11737.0,12.0,0,1,0,Cariri,2020
118425,Abaiara,23,230010,2020-06-17,11737.0,13.0,1,1,0,Cariri,2020
118426,Abaiara,23,230010,2020-06-18,11737.0,14.0,1,1,0,Cariri,2020
118427,Abaiara,23,230010,2020-06-19,11737.0,15.0,1,1,0,Cariri,2020
118428,Abaiara,23,230010,2020-06-20,11737.0,15.0,0,1,0,Cariri,2020
118429,Abaiara,23,230010,2020-06-21,11737.0,15.0,0,1,0,Cariri,2020
118430,Abaiara,23,230010,2020-06-22,11737.0,17.0,2,1,0,Cariri,2020
118431,Abaiara,23,230010,2020-06-23,11737.0,17.0,0,1,0,Cariri,2020
118432,Abaiara,23,230010,2020-06-24,11737.0,17.0,0,1,0,Cariri,2020
118433,Abaiara,23,230010,2020-06-25,11737.0,17.0,0,1,0,Cariri,2020
118434,Abaiara,23,230010,2020-06-26,11737.0,17.0,0,1,0,Cariri,2020
